filename,module_name,module_params,execution_time,passage_augmenter_retrieval_f1,passage_augmenter_retrieval_recall,passage_augmenter_retrieval_precision,is_best
0.parquet,PassPassageAugmenter,"{'top_k': 5, 'embedding_model': 'huggingface_multilingual_e5_large'}",0.0015344572067260741,0.2533333333333334,0.66,0.16,False
1.parquet,PrevNextPassageAugmenter,"{'top_k': 5, 'embedding_model': 'huggingface_multilingual_e5_large', 'mode': 'next'}",0.9785419225692749,0.25428571428571434,0.72,0.15600000000000003,True
