filename,module_name,module_params,execution_time,passage_filter_retrieval_f1,passage_filter_retrieval_recall,passage_filter_retrieval_precision,is_best
0.parquet,PassPassageFilter,{},3.4022331237792966e-05,0.348,0.66,0.24,False
1.parquet,ThresholdCutoff,{'threshold': 0.85},7.400035858154297e-05,0.46,0.46,0.46,True
2.parquet,PercentileCutoff,{'percentile': 0.6},5.9261322021484376e-05,0.46,0.46,0.46,False
