node_type,best_module_filename,best_module_name,best_module_params,best_execution_time
prompt_maker,0.parquet,Fstring,"{'prompt': '경희대학교 학생들을 위한 챗봇입니다. 오직, 주어진 학칙만을 이용하여 질문에 따라 답하시오. 모르면 모른다고 대답하시오. 학칙: {retrieved_contents} \n\n 질문: {query} \n\n 답변:'}",3.387928009033203e-05
generator,0.parquet,LlamaIndexLLM,"{'llm': 'upstage', 'model': 'solar-pro2'}",0.3073503255844116
