filename,module_name,module_params,execution_time,passage_reranker_retrieval_recall,passage_reranker_retrieval_precision,passage_reranker_retrieval_map,is_best
0.parquet,KoReranker,{'top_k': 3},1.5110206031799316,0.66,0.24,0.5466666666666667,True
1.parquet,Upr,{'top_k': 3},2.771166458129883,0.46,0.15999999999999998,0.3133333333333333,False
2.parquet,PassReranker,{'top_k': 3},3.6020278930664065e-05,0.48,0.1733333333333333,0.33333333333333326,False
