node_type,best_module_filename,best_module_name,best_module_params,best_execution_time
lexical_retrieval,0.parquet,BM25,{'top_k': 10},0.0014814186096191
semantic_retrieval,0.parquet,VectorDB,"{'top_k': 10, 'vectordb': 'chroma_large'}",0.0512846565246582
hybrid_retrieval,4.parquet,HybridCC,"{'top_k': 10, 'normalize_method': 'mm', 'weight_range': (0.0, 1.0), 'test_weight_size': 101, 'weight': 0.4}",0.1676297807693481
passage_augmenter,1.parquet,PrevNextPassageAugmenter,"{'top_k': 5, 'embedding_model': 'huggingface_multilingual_e5_large', 'mode': 'next'}",0.9770151233673096
passage_reranker,0.parquet,KoReranker,{'top_k': 3},1.502290301322937
passage_filter,1.parquet,ThresholdCutoff,{'threshold': 0.85},7.400035858154297e-05
passage_compressor,0.parquet,PassCompressor,{},3.563880920410156e-05
