filename,module_name,module_params,execution_time,passage_reranker_retrieval_recall,passage_reranker_retrieval_precision,passage_reranker_retrieval_map,is_best
0.parquet,KoReranker,{'top_k': 3},1.6211408615112304,0.72,0.25333333333333335,0.5933333333333333,False
1.parquet,Upr,{'top_k': 3},3.0259739780426025,0.52,0.2,0.4066666666666666,False
2.parquet,PassReranker,{'top_k': 3},5.2242279052734376e-05,0.76,0.2866666666666666,0.5916666666666667,True
