filename,module_name,module_params,execution_time,passage_compressor_retrieval_token_f1,passage_compressor_retrieval_token_recall,passage_compressor_retrieval_token_precision,is_best
0.parquet,PassCompressor,{},3.563880920410156e-05,0.5292488259197333,0.5244008367335677,0.5618751999781297,True
1.parquet,TreeSummarize,"{'llm': 'upstage', 'model': 'solar-pro2', 'prompt': '여러 문맥 정보는 다음과 같습니다.\\n\n---------------------\\n\n{context_str}\\n\n---------------------\\n\n사전 지식이 아닌 여러 정보가 주어졌습니다,\n질문에 대답하세요.\\n\n질문: {query_str}\\n\n답변:\n'}",0.1976781940460205,0.07417847089670146,0.05313435091223065,0.19435091353766387,False
2.parquet,Refine,"{'llm': 'upstage', 'model': 'solar-pro2', 'prompt': '원래 질문은 다음과 같습니다: {query_str}\n기존 답변은 다음과 같습니다: {existing_answer}\n아래에서 기존 답변을 정제할 수 있는 기회가 있습니다.\n(필요한 경우에만) 아래에 몇 가지 맥락을 추가하여 기존 답변을 정제할 수 있습니다.\n------------\n{context_msg}\n------------\n새로운 문맥이 주어지면 기존 답변을 수정하여 질문에 대한 답변을 정제합니다.\n맥락이 쓸모 없다면, 기존 답변을 그대로 답변하세요.\n정제된 답변:\n'}",0.16835623741149902,0.07466637239856744,0.05348104148146084,0.21051113972691063,False
